Country,Continent,Region,Location_details,Language,Language_iso3,Culture,Genre,Year,Decade,Url,Audio,Speech,Melspec,Chroma,Melodia
Israel,Eurasia,Europe,Israel,Arabic,arb,,Islamica|Sacred,1955.0,1950s,http://www.folkways.si.edu/yemenite-nightsong-1/islamica-sacred/music/track/smithsonian,15353_SampleAudio.wav,Speech/15353_SampleAudio.csv,Melspec/15353_SampleAudio.csv,Chroma/15353_SampleAudio.csv,Melodia/15353_SampleAudio.csv
Cuba,South America,South America,Cuba,Spanish,spa,African Caribbean,Islamica|Sacred,1955.0,1950s,http://www.folkways.si.edu/tumba-francessa/islamica-sacred/music/track/smithsonian,15355_SampleAudio.wav,Speech/15355_SampleAudio.csv,Melspec/15355_SampleAudio.csv,Chroma/15355_SampleAudio.csv,Melodia/15355_SampleAudio.csv
Trinidad and Tobago,South America,South America,Trinidad and Tobago,,,African Caribbean,Caribbean|World,1956.0,1950s,http://www.folkways.si.edu/calypso-in-drums/caribbean-world/music/track/smithsonian,15362_SampleAudio.wav,Speech/15362_SampleAudio.csv,Melspec/15362_SampleAudio.csv,Chroma/15362_SampleAudio.csv,Melodia/15362_SampleAudio.csv
Trinidad and Tobago,South America,South America,Trinidad and Tobago,,,African Caribbean,Caribbean|World,1956.0,1950s,http://www.folkways.si.edu/halicord/caribbean-world/music/track/smithsonian,15368_SampleAudio.wav,Speech/15368_SampleAudio.csv,Melspec/15368_SampleAudio.csv,Chroma/15368_SampleAudio.csv,Melodia/15368_SampleAudio.csv
Trinidad and Tobago,South America,South America,Trinidad and Tobago,,,African Caribbean,Caribbean|World,1957.0,1950s,http://www.folkways.si.edu/the-highlanders/cumpanchero/caribbean-world/music/track/smithsonian,15371_SampleAudio.wav,Speech/15371_SampleAudio.csv,Melspec/15371_SampleAudio.csv,Chroma/15371_SampleAudio.csv,Melodia/15371_SampleAudio.csv
Trinidad and Tobago,South America,South America,Trinidad and Tobago,,,African Caribbean,Caribbean|World,1957.0,1950s,http://www.folkways.si.edu/the-invaders/top-cat-mambo/caribbean-world/music/track/smithsonian,15378_SampleAudio.wav,Speech/15378_SampleAudio.csv,Melspec/15378_SampleAudio.csv,Chroma/15378_SampleAudio.csv,Melodia/15378_SampleAudio.csv
Trinidad and Tobago,South America,South America,Trinidad and Tobago,,,African Caribbean,Caribbean|World,1957.0,1950s,http://www.folkways.si.edu/katzenjammers/shaver-man/caribbean-world/music/track/smithsonian,15387_SampleAudio.wav,Speech/15387_SampleAudio.csv,Melspec/15387_SampleAudio.csv,Chroma/15387_SampleAudio.csv,Melodia/15387_SampleAudio.csv
Antigua and Barbuda,South America,South America,Antigua and Barbuda,,,African Caribbean,Caribbean|World,1957.0,1950s,http://www.folkways.si.edu/the-brute-force-steel-band/now-is-the-hour/caribbean-world/music/track/smithsonian,15400_SampleAudio.wav,Speech/15400_SampleAudio.csv,Melspec/15400_SampleAudio.csv,Chroma/15400_SampleAudio.csv,Melodia/15400_SampleAudio.csv
Trinidad and Tobago,South America,South America,Trinidad and Tobago,,,African Caribbean,Caribbean|World,1956.0,1950s,http://www.folkways.si.edu/steel-band-parade-on-frederick-street/caribbean-world/music/track/smithsonian,15453_SampleAudio.wav,Speech/15453_SampleAudio.csv,Melspec/15453_SampleAudio.csv,Chroma/15453_SampleAudio.csv,Melodia/15453_SampleAudio.csv
Spain,Eurasia,Europe,Spain,,,,Holiday|Sacred|World,1961.0,1960s,http://www.folkways.si.edu/choir-and-organ/holiday-sacred-world/music/track/smithsonian,15464_SampleAudio.wav,Speech/15464_SampleAudio.csv,Melspec/15464_SampleAudio.csv,Chroma/15464_SampleAudio.csv,Melodia/15464_SampleAudio.csv
Trinidad and Tobago,South America,South America,Trinidad and Tobago,,,African Caribbean,Caribbean|World,1961.0,1960s,http://www.folkways.si.edu/rupert-clemendore/one-bass-hit/caribbean-world/music/track/smithsonian,15486_SampleAudio.wav,Speech/15486_SampleAudio.csv,Melspec/15486_SampleAudio.csv,Chroma/15486_SampleAudio.csv,Melodia/15486_SampleAudio.csv
Trinidad and Tobago,South America,South America,Trinidad and Tobago,,,African Caribbean,Caribbean|World,1961.0,1960s,http://www.folkways.si.edu/john-buddy-williams/man-in-dey/caribbean-world/music/track/smithsonian,15492_SampleAudio.wav,Speech/15492_SampleAudio.csv,Melspec/15492_SampleAudio.csv,Chroma/15492_SampleAudio.csv,Melodia/15492_SampleAudio.csv
