labels,0,1,2,3,4,5,6,7,8,9
Colombia,0.795100301686029,2.06222060790739,-0.4419618127652762,-0.40582754434923574,1.9815497396371775,-0.5668739257232623,0.21991313731761727,-0.4372182514683099,-0.7015597511810613,-0.2826759946035672
Costa Rica,-0.2532410877378593,-0.2105556467821265,-0.1656451866662141,0.09893639305583016,-0.08707979571303476,-0.30124497182445636,0.45977806002153626,0.05764622940388043,0.08545280252186481,-0.048331792183828264
Croatia,-0.37788194933879876,0.06468230633705964,-0.21360721094773286,-0.36209127453961026,-0.16435325872397347,0.4931777727111099,-0.4975338906508577,1.0791210857792353,0.07095613343458355,-0.3164711401146695
Cuba,1.2121225724198341,-0.8512326002703836,-1.180782018715792,-0.13864968460549917,3.1373857924948556,-0.28678482981451964,0.7020683399275951,-1.1385804422468675,-0.8163605725500751,0.04452637758657993
Czech Republic,-0.48749513858075477,-0.2951013674971176,0.4536131861150216,1.1759622844117725,-0.9853369343880455,-0.3712982594506816,-0.0026026748086907044,-0.2892836221549373,-0.38288460390978724,0.7745886510554139
Democratic Republic of the Congo,-0.04136317225531585,-0.911166927316154,0.23895228073811037,0.671453664286459,-0.051728534796127074,-0.8365138236072532,1.2186739000086033,-0.4077974267144235,-0.3687401006523066,0.10233446571536892
Denmark,-0.23252691198494937,-0.34264286511369146,-0.37626692168580245,0.017650849260346463,-0.32673284136820474,0.06859094436257905,0.17035712679709758,0.0046459468511509195,0.3919517678976234,-0.04235831465416402
Dominican Republic,0.49493931965152005,-0.07994690265224426,-0.34014599173551174,-0.6842108060826034,0.45266303799689217,0.6475087357252843,-0.24154662364387153,-0.14508082802001676,0.28530813938490174,-0.3154951902645732
Ecuador,0.08170319496390539,1.6742678158900521,-0.3463355523471316,-0.4774650731460453,0.7219947706213915,-0.2170029885270513,-0.07878648751662672,-0.35446818813464354,-0.18003734170223118,0.22623816826906706
Egypt,0.08807165341815244,0.5046470274581581,2.0085259444664616,-0.7614075533580649,0.4623516861007413,0.19101266474538495,-0.18796352976285488,0.18679365616271804,-0.805882579754715,-0.3572341431815969
El Salvador,0.1921695202448095,0.565182217980944,-0.18121106083599356,0.8425393258103513,0.27805200200489094,-0.48397938689235726,0.6302508885055452,-1.1279500448131436,-0.5957501082850132,0.35959042257342944
Ethiopia,-0.33432332174735707,-0.06239507274572073,-0.24666214543521542,-0.540881931689197,0.26144220879917135,0.37116313257158645,-0.4075454872475864,0.9507137233396925,0.19113385243837439,-0.43385268528484777
Fiji,-0.06904211554117361,-0.21490396529217548,-0.032373501556873845,-0.37895994049670645,0.6763518357620676,-0.2665830457104984,-0.1018530372354817,0.6255404527127059,0.1089640334861726,-0.2960330199697945
Finland,-0.4290770930259983,-0.4358303271036861,-0.057883248271130734,0.3011853472436352,-0.4411322341184091,-0.4723114545908626,0.1443880221423888,0.008793319985088954,0.12106396440897993,0.635910487311391
France,-0.827605318954585,-0.6335176302015845,-0.7283334349974122,1.0525185002667863,-1.4859231646601454,-0.37544301711381595,0.38438044876083494,-0.47517382818049736,0.6417703312225838,0.7233726384272158
French Guiana,0.6645060706499345,2.015001684660425,-0.3549310270499953,-0.6743143651887555,0.5364949473993033,0.5600681323024866,-1.2200900329916204,-0.38275368699861445,0.7761515941504524,-0.6983973870522159
French Polynesia,0.02675649511459185,-0.40391796386146994,-0.1943052221037073,0.2485344612782306,0.4023142462029677,-0.31536154340384426,0.49231050969537343,0.04826091687640888,-0.2964446696015109,-0.07821471799448447
Gabon,-0.1711507392268972,-0.6514486501989698,0.18030002248119278,-0.45731272251551597,0.5466315757501985,-0.17670316506951714,0.36463269552429284,0.5038390707192322,-0.07805906610172628,-0.2691546323303152
Gambia,2.5104270859445754,0.27464936387194494,1.2733054333839018,-0.748441837748142,0.42016435443516403,0.13491527009096005,-0.20101235451011143,-0.6130492688209727,-0.013546287538244202,-0.7313624993018492
Germany,-1.097734753230525,-1.1098474214540364,-0.7949858781187168,1.589238602693265,-2.104948132412502,-0.6277556628215394,0.686154098220161,-0.13469907493295155,0.9717082895463491,0.31729414400227596
Ghana,4.365358308273809,-0.39568800116800046,1.1928891450710695,-0.2920724068475998,1.9700717751877221,0.0878845937709199,0.7219875565667031,-1.656704249585491,-1.2975516994009804,-1.1180513005465853
Greece,-0.6948349059719054,-0.04796841134499974,0.31572894945582364,1.382763229110944,-0.6450641050832095,-1.5775220988613463,0.6283554111256894,-0.9287353333058157,-1.167856030051342,2.5509333862843504
Grenada,-0.2900776150025353,-0.26840803604322944,-0.3477534247130841,-0.577499222148839,0.2898602386400832,0.7310594672687909,-0.4159230910175343,0.16350605135877305,0.6265660330941675,-0.561480558016161
Guatemala,-0.9372142916993684,0.09045119379238842,0.6990140332020284,0.042647585921165077,0.7844676404134965,-0.6569267758653254,0.5260653293118793,0.5078986268802426,-0.7971210535088171,-0.05705403741933681
Guinea,-0.15548029048334702,-0.254690839714146,-0.06713555130093092,0.12250068301362056,0.001994043455995067,-0.3131413283001121,0.3636431527976866,-0.0643294918452867,0.007380991512441759,0.08830302814977184
Guyana,0.37400520362702344,0.04140569196043427,-0.5597748619618715,-0.4552126284486771,-0.08533021296489281,0.515717208880952,-0.41427666582889705,-0.37586890688509544,1.0952411778666558,-0.5176110413560879
Haiti,-0.07422247486023247,-1.2869917101020572,-0.7444354461961596,0.44176925101842224,1.6355324073677708,-0.949901833691148,1.7234625001656265,-0.48597146650863615,-0.7469714837167458,0.0320849203030288
Honduras,0.18948675933169118,0.14066584113850178,-0.33598584141700377,0.16524760217522722,0.22617254760657476,0.36947252230095085,0.19423830014928067,-0.5847796240654313,-0.16289735661078747,-0.15066562955067864
Hungary,-1.6673635965261846,-0.2613352252926882,-0.25489770477652823,0.6910570178577606,-1.0264522310393682,-0.8683058686474026,0.3980897500133203,0.6715088026225943,-0.2630788617517426,1.3594085734261074
